CustomerID,Recency,Frequency,Monetary,Target_Spend
15845,44,7,2465.86,1185.01
18272,24,5,2092.65,972.13
16812,271,1,479.35,0.0
16634,133,2,217.9,0.0
17556,116,1,157.9,0.0
17392,217,2,457.91,0.0
16700,32,14,4059.4,980.6
15938,22,5,404.58,0.0
17837,58,4,360.56,1199.97
12748,1,139,13640.97,15431.13
14778,37,2,730.86,0.0
15150,19,5,3569.62,1734.35
17708,98,2,267.08,0.0
16612,29,3,870.3000000000001,317.36
15093,27,8,3840.22,569.9200000000001
16933,145,3,208.03,322.05
16389,115,2,670.17,692.1
17736,23,1,307.49,30.0
14481,75,2,636.51,0.0
15386,96,1,394.14,0.0
13527,15,4,1366.42,897.34
15301,18,10,3740.47,1287.65
17629,30,6,768.38,1015.74
16483,102,1,139.35,0.0
17809,39,10,2138.42,2489.2
15800,17,2,699.08,0.0
16839,20,25,10800.04,4557.74
14670,190,2,411.53,0.0
17812,278,1,217.55,514.61
15745,146,1,302.85,768.39
16833,170,3,671.29,435.24
18212,236,1,248.42,0.0
12515,263,1,383.7,0.0
15704,50,4,2293.62,0.0
14442,108,4,1548.87,-4.25
17391,74,2,508.8,0.0
12851,7,1,135.18,0.0
12433,1,3,6395.23,6980.64
13601,121,1,373.2,320.12
16125,277,1,289.35,0.0
17644,27,12,1516.37,1252.61
14684,125,2,519.26,717.02
18145,115,2,1023.78,1837.77
15152,23,9,2321.76,2362.48
18225,11,11,2594.53,2766.49
18211,47,2,268.7,331.37
13623,120,5,532.02,140.42000000000002
14220,157,2,632.4,0.0
13570,153,1,239.49,0.0
16794,18,5,615.8,585.71
16961,26,1,234.17,0.0
12690,116,1,389.01,0.0
15047,180,1,343.62,0.0
13300,75,2,365.29,0.0
16055,131,1,134.8,0.0
17716,5,7,4136.66,1369.13
15381,124,2,596.85,0.0
12429,83,3,2844.88,905.52
12643,38,6,3344.64,0.0
15609,93,2,270.03000000000003,0.0
16319,128,1,404.4,0.0
15901,65,1,110.49,253.39
13113,24,34,9741.81,768.1899999999999
