iter	RMSE
0	7970.805457
1	7791.177113
2	7641.504455
3	7494.98474
4	7350.563933
5	7187.356048
6	7031.218315
7	6893.872525
8	6769.46055
9	6598.545964
10	6476.894421
11	6352.976779
12	6239.243982
13	6128.098876
14	6018.622669
15	5910.99639
16	5790.887682
17	5690.233502
18	5565.709197
19	5455.293952
20	5340.666802
21	5237.456525
22	5145.807098
23	5050.532793
24	4936.874416
25	4846.785888
26	4763.489431
27	4669.206868
28	4566.679904
29	4482.262055
30	4395.06942
31	4311.705244
32	4239.240722
33	4158.107232
34	4091.79496
35	4012.769645
36	3939.208135
37	3867.11731
38	3794.522893
39	3727.641561
40	3667.122985
41	3607.127088
42	3549.236856
43	3489.069323
44	3432.629317
45	3376.062459
46	3323.442454
47	3274.26593
48	3219.295602
49	3154.081773
50	3105.135222
51	3053.324784
52	3006.905756
53	2960.964784
54	2903.571383
55	2849.429457
56	2800.272558
57	2750.299505
58	2705.042661
59	2663.590551
60	2618.880033
61	2580.60631
62	2538.384363
63	2499.209712
64	2463.615862
65	2424.236083
66	2385.45963
67	2351.339081
68	2317.822125
69	2282.441145
70	2244.373509
71	2221.1208
72	2190.160109
73	2157.135237
74	2127.836361
75	2096.368248
76	2068.160089
77	2040.705306
78	2013.579211
79	1986.748539
80	1961.118605
81	1935.911341
82	1911.726948
83	1884.183813
84	1858.111043
85	1840.266513
86	1813.700303
87	1789.015046
88	1772.078054
89	1755.310432
90	1733.735016
91	1707.257654
92	1691.425255
93	1671.174378
94	1647.949169
95	1625.409888
96	1602.506487
97	1582.056316
98	1567.697258
99	1554.311694
100	1538.409861
101	1515.414079
102	1501.173565
103	1482.626181
104	1469.482897
105	1450.4458
106	1437.683581
107	1421.664858
108	1402.33488
109	1390.280164
110	1378.412093
111	1362.523087
112	1351.005531
113	1336.702292
114	1325.624273
115	1307.919518
116	1297.221999
117	1281.577221
118	1270.960204
119	1256.135532
120	1241.427828
121	1230.563171
122	1213.942517
123	1201.085022
124	1191.424865
125	1181.98711
126	1173.372652
127	1164.178542
128	1154.600957
129	1142.053319
130	1131.509065
131	1122.929074
132	1110.111159
133	1097.267699
134	1089.017959
135	1081.856538
136	1070.70199
137	1059.826767
138	1048.54989
139	1036.892376
140	1029.352867
141	1017.652901
142	1007.272924
143	993.8616509
144	983.3313731
145	976.4147692
146	971.6436877
147	961.6749901
148	953.6778585
149	947.119319
150	940.3986072
151	935.8857502
152	929.6670508
153	924.0172149
154	917.2031938
155	907.6666991
156	901.5764769
157	897.5574326
158	892.6446609
159	881.7077393
160	873.1916303
161	865.9093854
162	860.3509641
163	856.6795747
164	851.2910967
165	843.5361315
166	840.0436258
167	835.2159178
168	830.2062557
169	826.5706894
170	818.7558005
171	810.2406548
172	807.1189299
173	802.7338923
174	799.6524016
175	793.6635318
176	785.0612955
177	780.4074134
178	773.7227019
179	769.45498
180	765.2817877
181	761.2011223
182	756.9040716
183	752.9839522
184	749.1514172
185	742.9280833
186	739.2165828
187	735.5900361
188	732.2331365
189	728.7765759
190	725.5761968
191	720.5594145
192	717.2801271
193	711.3928521
194	706.0696366
195	702.5971531
196	699.1823867
197	694.2467901
198	690.9787442
199	687.7917123
200	684.6832536
201	681.6100525
202	678.6526124
203	673.7907568
204	670.9190964
205	668.1136696
206	663.3863596
207	660.6881639
208	655.6946286
209	653.0870594
210	650.5412006
211	646.4629412
212	643.9908197
213	641.576672
214	637.8098561
215	635.4680765
216	631.2416204
217	629.0719218
218	626.8548821
219	624.6895471
220	622.5746231
221	619.0281114
222	616.9619993
223	614.9437203
224	612.9721161
225	607.3609532
226	605.4449345
227	603.5728679
228	600.3500055
229	598.5241863
230	596.7400497
231	594.9966481
232	593.2930591
233	590.1740984
234	588.5104483
235	584.8915893
236	583.2660744
237	580.6684814
238	579.1123846
239	574.2076626
240	572.6970796
241	571.2207653
242	569.7779808
243	566.3735344
244	563.5432408
245	561.2130578
246	558.9706665
247	555.9046025
248	554.5711508
249	553.2681717
250	548.6215257
251	547.345513
252	545.2769572
253	542.0730298
254	540.8554276
255	539.6656523
256	535.4636307
257	534.3056036
258	531.2886804
259	530.1567914
260	529.0507455
261	527.9699932
262	524.022633
263	522.9700997
264	521.9416752
265	519.4407001
266	517.7531892
267	513.6576835
268	511.2056801
269	510.219711
270	509.2564301
271	506.6180703
272	505.6715361
273	504.1182619
274	503.2156723
275	501.7438894
276	499.3643721
277	498.7714563
278	498.1925618
279	495.7112396
280	495.1434754
281	494.5891607
282	494.0563569
283	490.8394216
284	489.0442847
285	488.5229727
286	486.3489097
287	485.8396992
288	485.3425993
289	484.8573332
290	482.9667642
291	482.4913173
292	482.0272067
293	481.5741722
294	479.9161372
295	479.4739007
296	477.2783004
297	476.8471976
298	476.4264076
299	474.9470824
300	474.5358898
301	474.1345488
302	472.5779625
303	472.1867878
304	470.6544957
305	470.2714492
306	469.8975992
307	469.5327316
308	469.1766371
309	468.829111
310	467.4836641
311	467.1441056
312	464.2297442
313	463.8956544
314	463.5696163
315	463.2514411
316	462.0466549
