iter	Passed	Remaining
0	60	60265
1	60	30324
2	61	20366
3	61	15432
4	62	12478
5	63	10458
6	63	9047
7	64	7968
8	64	7121
9	65	6468
10	66	5934
11	66	5483
12	67	5090
13	67	4754
14	67	4459
15	68	4203
16	68	3977
17	69	3776
18	69	3605
19	70	3447
20	70	3300
21	71	3166
22	71	3044
23	72	2934
24	72	2830
25	72	2733
26	73	2643
27	73	2560
28	74	2484
29	74	2412
30	75	2353
31	75	2295
32	76	2237
33	76	2183
34	77	2130
35	77	2080
36	78	2033
37	78	1991
38	79	1951
39	79	1913
40	80	1876
41	80	1843
42	81	1810
43	81	1776
44	82	1744
45	82	1713
46	83	1683
47	83	1657
48	83	1630
49	84	1604
50	84	1580
51	85	1557
52	85	1536
53	86	1513
54	86	1492
55	87	1471
56	87	1450
57	88	1432
58	88	1414
59	89	1396
60	89	1378
61	89	1360
62	90	1343
63	90	1328
64	91	1313
65	92	1303
66	92	1290
67	93	1276
68	93	1262
69	94	1251
70	94	1240
71	95	1229
72	96	1223
73	96	1211
74	97	1199
75	97	1186
76	98	1176
77	98	1165
78	99	1155
79	99	1143
80	99	1133
81	100	1122
82	100	1113
83	101	1103
84	101	1093
85	101	1083
86	102	1074
87	102	1065
88	103	1056
89	103	1048
90	104	1039
91	104	1030
92	104	1022
93	105	1014
94	105	1007
95	106	999
96	106	991
97	106	984
98	107	977
99	107	969
100	108	962
101	108	956
102	109	949
103	109	943
104	109	936
105	110	930
106	110	924
107	111	918
108	111	912
109	112	906
110	112	902
111	113	896
112	113	891
113	114	886
114	114	881
115	115	877
116	115	872
117	116	869
118	116	865
119	117	861
120	117	856
121	118	852
122	119	849
123	119	846
124	120	841
125	120	837
126	121	833
127	121	829
128	122	826
129	122	822
130	123	818
131	123	814
132	124	812
133	125	810
134	125	806
135	126	803
136	126	799
137	127	795
138	127	791
139	128	787
140	128	783
141	129	780
142	129	777
143	130	774
144	130	770
145	131	766
146	131	762
147	131	758
148	132	755
149	132	752
150	133	748
151	133	744
152	133	741
153	134	738
154	134	734
155	135	732
156	135	729
157	136	726
158	136	723
159	137	720
160	137	717
161	138	714
162	138	712
163	139	708
164	139	705
165	140	703
166	140	700
167	141	698
168	141	695
169	141	692
170	142	689
171	142	686
172	143	684
173	143	681
174	144	679
175	144	677
176	145	674
177	145	672
178	145	669
179	146	666
180	146	665
181	147	662
182	147	659
183	148	657
184	148	655
185	149	653
186	149	651
187	150	649
188	150	647
189	151	645
190	151	643
191	152	640
192	152	638
193	153	636
194	153	635
195	154	632
196	154	631
197	155	628
198	155	627
199	156	625
200	156	624
201	157	622
202	158	620
203	158	618
204	159	616
205	159	614
206	160	613
207	160	611
208	161	609
209	161	607
210	162	605
211	162	604
212	163	602
213	163	600
214	163	598
215	164	596
216	164	594
217	165	593
218	165	591
219	166	589
220	166	587
221	167	585
222	167	584
223	168	582
224	168	580
225	169	579
226	169	577
227	170	576
228	170	574
229	171	572
230	171	570
231	172	569
232	172	568
233	173	567
234	173	565
235	174	564
236	174	563
237	175	561
238	175	560
239	176	558
240	176	557
241	177	555
242	177	553
243	178	552
244	178	550
245	179	548
246	179	547
247	179	545
248	180	543
249	180	542
250	181	541
251	181	539
252	182	538
253	182	536
254	183	535
255	183	533
256	184	532
257	184	531
258	185	530
259	185	529
260	186	527
261	186	526
262	187	525
263	188	524
264	188	522
265	188	520
266	189	519
267	189	517
268	189	516
269	190	514
270	190	512
271	191	511
272	191	509
273	191	508
274	192	506
275	192	505
276	192	503
277	193	502
278	193	500
279	194	499
280	194	498
281	195	496
282	195	495
283	195	493
284	196	492
285	196	490
286	197	489
287	197	489
288	198	487
289	198	486
290	199	485
291	199	484
292	200	482
293	200	481
294	200	479
295	201	478
296	201	477
297	201	475
298	202	474
299	202	473
300	203	471
301	203	470
302	204	469
303	204	468
304	205	467
305	205	466
306	205	464
307	206	463
308	206	462
309	207	461
310	207	459
311	207	458
312	208	457
313	208	455
314	209	454
315	209	453
316	209	451
317	210	450
318	210	449
319	210	448
320	211	447
321	211	445
322	212	444
323	212	443
324	212	441
325	213	440
326	213	439
327	214	438
328	214	437
329	214	436
330	215	435
331	215	434
332	216	433
333	216	432
334	217	431
335	217	429
336	218	429
337	218	428
338	219	427
339	219	426
340	220	425
341	220	424
342	221	423
343	221	422
344	222	421
345	222	420
346	222	419
347	223	418
348	223	417
349	224	416
350	224	415
351	224	413
352	225	412
353	225	411
354	225	410
355	226	409
356	226	408
357	227	407
358	227	406
359	227	405
360	228	404
361	228	403
362	229	402
363	229	401
364	230	400
365	230	399
366	231	398
367	231	397
368	232	396
369	232	395
370	232	394
371	233	394
372	233	393
373	234	392
374	234	391
375	235	390
376	235	389
377	236	388
378	236	387
379	237	386
380	237	385
381	237	384
382	238	384
383	238	383
384	239	382
385	239	381
386	240	380
387	240	379
388	240	378
389	241	377
390	241	376
391	242	375
392	242	374
393	243	373
394	243	372
395	243	371
396	244	371
397	244	370
398	245	369
399	245	368
400	245	367
401	246	366
402	246	365
403	247	364
404	247	364
405	248	363
406	248	362
407	249	361
408	249	360
409	250	359
410	250	359
411	251	358
412	251	357
413	252	356
414	252	356
415	252	355
416	253	354
417	253	353
418	254	352
419	254	351
420	255	350
421	255	349
422	255	349
423	256	348
424	256	347
425	257	346
426	257	345
427	257	344
428	258	343
429	258	343
430	259	342
431	259	341
432	260	340
433	260	339
434	260	338
435	261	338
436	261	337
437	262	336
438	262	335
439	263	334
440	263	334
441	263	333
442	264	332
443	264	331
444	265	330
445	265	330
446	266	329
447	266	328
448	266	327
449	267	326
450	267	326
451	268	325
452	269	324
453	269	324
454	270	323
455	270	322
456	270	321
457	271	321
458	271	320
459	272	319
460	272	318
461	273	318
462	273	317
463	273	316
464	274	315
465	274	315
466	275	314
467	275	313
468	276	312
469	276	312
470	277	311
471	277	310
472	278	309
473	278	309
474	279	308
475	279	307
476	280	307
477	280	306
478	281	305
479	281	305
480	282	304
481	282	303
482	283	303
483	283	302
484	284	301
485	284	301
486	285	300
487	285	299
488	286	299
489	286	298
490	287	297
491	287	297
492	288	296
493	288	295
494	289	295
495	289	294
496	290	293
497	290	293
498	291	292
499	291	291
500	292	290
501	292	290
502	292	289
503	293	288
504	293	287
505	294	287
506	294	286
507	295	285
508	295	285
509	296	284
510	296	283
511	297	283
512	297	282
513	298	281
514	298	281
515	299	280
516	299	279
517	299	279
518	300	278
519	300	277
520	301	277
521	301	276
522	302	275
523	302	275
524	303	274
525	303	273
526	304	273
527	304	272
528	305	271
529	305	271
530	306	270
531	306	269
532	307	269
533	307	268
534	308	267
535	308	267
536	309	266
537	309	265
538	310	265
539	310	264
540	311	264
541	311	263
542	312	262
543	312	262
544	313	261
545	313	260
546	314	260
547	314	259
548	315	259
549	315	258
550	316	257
551	316	257
552	317	256
553	317	255
554	318	255
555	318	254
556	319	254
557	320	253
558	320	252
559	320	252
560	321	251
561	321	250
562	322	250
563	323	249
564	323	249
565	324	248
566	324	247
567	325	247
568	325	246
569	326	245
570	326	245
571	327	244
572	327	244
573	328	243
574	328	243
575	329	242
576	329	241
577	330	241
578	330	240
579	331	240
580	332	239
581	332	238
582	333	238
583	333	237
584	334	236
585	334	236
586	334	235
587	335	235
588	335	234
589	336	233
590	336	233
591	337	232
592	337	231
593	338	231
594	338	230
595	339	230
596	340	229
597	340	229
598	341	228
599	341	227
600	342	227
601	342	226
602	343	225
603	343	225
604	344	224
605	344	224
606	345	223
607	345	222
608	346	222
609	346	221
610	347	221
611	348	220
612	348	220
613	349	219
614	349	218
615	350	218
616	350	217
617	351	217
618	351	216
619	352	215
620	352	215
621	353	214
622	353	214
623	354	213
624	354	212
625	355	212
626	355	211
627	355	210
628	356	210
629	356	209
630	357	208
631	357	208
